combination,train_folds,test_folds,train_samples,test_samples,accuracy,precision,recall,f1_score,auc
combo_1,"[0, 1]","[2, 3]",4448,4450,0.9435955056179776,0.9443636520118284,0.9435955056179776,0.9433243440195579,0.9381416336435356
combo_2,"[0, 2]","[1, 3]",4449,4449,0.9393122049898853,0.9398866271524214,0.9393122049898853,0.939046023894875,0.9340608495183017
combo_3,"[0, 3]","[1, 2]",4449,4449,0.9343672735446168,0.9345339599249332,0.9343672735446168,0.9341691669931794,0.9300618084435104
combo_4,"[1, 2]","[0, 3]",4449,4449,0.9498763767138683,0.9498512271517492,0.9498763767138683,0.949822397673219,0.9476208841986019
combo_5,"[1, 3]","[0, 2]",4449,4449,0.9512249943807597,0.9519701588124382,0.9512249943807597,0.951004121838973,0.9461579642961835
combo_6,"[2, 3]","[0, 1]",4450,4448,0.9473920863309353,0.9482948341002523,0.9473920863309353,0.9471254698785003,0.941827401073772
