fold,train_samples,test_samples,accuracy,precision,recall,f1_score,auc
fold_0,2224,742,0.8867924528301887,0.8866288778071859,0.8867924528301887,0.8864723225648362,0.8815108042145365
fold_1,2224,742,0.9002695417789758,0.9003565695980537,0.9002695417789758,0.8998808339907424,0.8944654443716888
fold_2,2225,741,0.8960863697705803,0.8961842545816526,0.8960863697705803,0.8956477746119822,0.8898733988235645
fold_3,2225,741,0.9001349527665317,0.8999820780128068,0.9001349527665317,0.8999509152379193,0.8959533904631095
